Heptadecafluorooctanesulfonic acid potassium salt,Decanoate,Decylamine,Perfluorooctanoic acid,Decyl sodium sulfate,"1H,1H,2H,2H-Tridecafluorooctane-1-sulphonic acid",Glycerol monodecanoate
0.3926587990540544,4.681768040838695,3.010242017614756,4.3835938084515655,3.969480949356333,0.7295309178868242,0.8945749803308822
0.043949656894056416,0.8237690356469184,0.3733991685239244,0.19285843729349836,4.5523036717166265,0.7318458031912377,0.6570949686379529
0.0011714046569778335,3.7589616580636775,3.1376966946204576,2.077207633940071,2.8354846536876157,0.1494926802226352,0.3739443739738307
0.027967902503924273,1.8418728663601283,0.5738063076214592,1.240608137273805,4.560871675514417,0.44142524054367105,0.789804001499835
2.7920212175707717,4.191380809989924,1.1367674173834406,0.8459966722907475,4.600565923223265,0.5032270648548683,0.40351881269684
4.23986459043752,4.69678982194005,4.42977905738812,1.3388931939809041,3.6859707662115704,1.168103473950184,0.24755245262459818
2.184510493005073,4.728891982606081,3.561854713162658,0.04318288086585098,4.002833698686099,1.049585278233971,0.717578605249801
1.3308089706445179,3.8405540567366487,0.47190195216111414,2.368536020706774,1.971139749384914,0.31072709203212334,0.09931200209677121
0.8633122832812093,4.014255408069895,0.03987683504376553,2.2849501284100047,4.619097821554167,0.6707571895293842,0.9143073307636969
2.044312339128623,2.6246944705462445,0.21917578944704127,0.06584630250469449,4.939356279176373,0.2376901196621692,0.038017326365030066
