Heptadecafluorooctanesulfonic acid potassium salt,Decanoate,Decylamine,Perfluorooctanoic acid,Decyl sodium sulfate,"1H,1H,2H,2H-Tridecafluorooctane-1-sulphonic acid",Glycerol monodecanoate
0.5587346208765963,0.8923461822782639,2.8879341942852634,0.026125100739000352,0.23118147270606856,0.04305279779117665,0.02863332739989432
0.10753250113510805,1.8667914721417358,3.5073158580323995,0.03184926050316538,0.09177470040829114,0.690161543360375,0.7647889803587262
0.22350168735050255,2.528370073554748,1.6347851120925583,0.1888263419561699,0.5425170999284205,0.011430538838881184,0.3839271167366672
0.006867858995134699,0.5562032027235297,2.7716850878668766,0.762406214199833,0.2002941519430617,0.39107803493609483,0.20613658278320135
0.7516222025150313,0.19204727929866702,1.570061059730919,0.10772439424719807,0.2190437834822415,0.22265469002710428,0.3796958376592835
0.24215489917089783,1.1183843080682123,2.8417592379344008,0.13567666835456457,0.15449532590617515,0.3841325927779384,0.9208245052198911
0.033187959998747095,0.18437957406601263,2.4000286860612636,0.136045004927322,0.7709703433750001,1.1687510325734372,0.016261681663636632
0.3150659459905388,0.5537899790717392,0.3336271031681575,0.396938750954153,0.666660584294415,0.17217456159411018,0.8618868842483994
0.09779237133832377,0.023239231179353982,3.159622041429559,1.3512134292374327,0.2642859826017941,0.2409123674303756,0.9085856831212544
0.0941665509118024,0.13953758785440654,1.058241603628256,0.6973862116501587,0.5164571871419255,0.29366829948349776,0.745309318227841
